"year","site","cover"
2008,1,10.2
2008,2,4.4
2008,3,26
2009,1,3
2009,2,4.6
2009,3,27.3
2010,1,3.3
2010,2,6.8
2010,3,27.5
2011,1,4.2
2011,2,8.7
2011,3,28.2
2012,1,9
2012,2,15.6
2012,3,33.8
2013,1,15
2013,2,32.4
2013,3,33.7
2014,1,25
2014,2,39.3
2014,3,40.8
2015,1,57.3
2015,2,59.9
2015,3,44.1
2016,1,67.89
2016,2,70.82
2016,3,49
2017,1,65.3
2017,2,72.27
2017,3,47.1
2018,1,64.12
2018,2,74
2018,3,45.45
2019,1,65.51
2019,2,62.46
2019,3,50.16
2020,1,76.45
2020,2,73.4
2020,3,45.87
2021,1,73.49
2021,2,62.95
2021,3,51.64
2022,1,64.56
2022,2,51.21
2022,3,42.5
