"year","site","cover"
2009,1,20.3
2009,2,15
2009,3,11.6
2010,1,21.42
2010,2,15
2010,3,9.5
2011,1,9.2
2011,2,6.8
2011,3,7.6
2012,1,7.7
2012,2,8.36
2012,3,6.5
2013,1,11.5
2013,2,11.9
2013,3,8.61
2014,1,14.7
2014,2,13.5
2014,3,13.2
2015,1,16.51
2015,2,18.42
2015,3,14.6
2016,1,18.6
2016,2,24.7
2016,3,20.7
2017,1,22.5
2017,2,25.1
2017,3,27.2
2018,1,25.5
2018,2,27.4
2018,3,31.3
2020,1,34.92
2020,2,34.15
2020,3,43.54
2021,1,46.57
2021,2,39.83
2021,3,46.57
2022,1,46.79
2022,2,42.91
2022,3,50.64
2023,1,46.65
2023,2,45.29
2023,3,52.2
