"year","site","cover"
1992,1,2.35
1992,2,1.38
1992,3,7.59
1994,1,4.4
1994,2,5.96
1994,3,15.4
1995,1,8.43
1995,2,13.84
1995,3,28.89
1996,1,22.25
1996,2,28.52
1996,3,40.5
1997,1,38.9
1997,2,45.95
1997,3,63.11
1998,1,59.05
1998,2,56
1998,3,56.26
1999,1,67.85
1999,2,59.29
1999,3,69.1
2000,1,69.52
2000,2,54.39
2000,3,60.21
2001,1,74.1
2001,2,64.46
2001,3,65.4
2002,1,82.29
2002,2,74.97
2002,3,67
2003,1,80.88
2003,2,72.77
2003,3,71.38
2004,1,80.87
2004,2,68
2004,3,51.9
2005,1,84.66
2005,2,82.48
2005,3,67.76
2006,1,77.8
2006,2,80.99
2006,3,72.28
2007,1,74.2
2007,2,79.95
2007,3,73.18
