"year","site","cover"
1993,1,21.95
1993,2,20.32
1993,3,21.06
1994,1,19.97
1994,2,21.24
1994,3,16.26
1995,1,20.74
1995,2,19.25
1995,3,14.84
1996,1,15.45
1996,2,15.94
1996,3,9.6
1997,1,19.57
1997,2,21.37
1997,3,10.01
1998,1,17.7
1998,2,19.51
1998,3,11.49
1999,1,18.47
1999,2,20.3
1999,3,11.19
2000,1,21.21
2000,2,25.7
2000,3,16.03
2001,1,18.04
2001,2,26.24
2001,3,15.22
2002,1,24.86
2002,2,30.34
2002,3,18.7
2003,1,19.01
2003,2,31.81
2003,3,21.19
2004,1,20.28
2004,2,30.26
2004,3,24.9
2006,1,24.02
2006,2,35.97
2006,3,24.94
2008,1,19.82
2008,2,39.6
2008,3,27.6
2010,1,28.6
2010,2,41.85
2010,3,32.44
2012,1,30.8
2012,2,42.2
2012,3,34.6
