"year","site","cover"
1992,1,0.64
1992,2,6.5
1992,3,5.92
1993,1,2.27
1993,2,5.39
1993,3,9.16
1994,1,1.42
1994,2,9.51
1994,3,13.28
1995,1,6.93
1995,2,20.92
1995,3,26.46
1996,1,15.1
1996,2,30.64
1996,3,39.31
1997,1,28.16
1997,2,42.06
1997,3,53.5
1998,1,49.1
1998,2,57.93
1998,3,60.18
1999,1,63.8
1999,2,65.05
1999,3,64.12
2000,1,66.82
2000,2,67.09
2000,3,67.12
2001,1,74.87
2001,2,73.88
2001,3,68.1
2002,1,82.1
2002,2,76.9
2002,3,69.4
2003,1,77.39
2003,2,70.42
2003,3,68.47
2004,1,70.24
2004,2,64.7
2004,3,61.16
2006,1,65.68
2006,2,64.17
2006,3,61.8
