"year","site","cover"
1994,1,33.06
1994,2,18.05
1994,3,14.955
1995,1,21.24
1995,2,19.04
1995,3,20.26
1996,1,19.73
1996,2,15.26
1996,3,17.28
1997,1,21.13
1997,2,21.44
1997,3,20.37
1998,1,32.88
1998,2,28.43
1998,3,28.97
1999,1,36.23
1999,2,31.21
1999,3,31.84
2000,1,44.4
2000,2,39.76
2000,3,31.25
2001,1,45.81
2001,2,45.12
2001,3,36.64
2002,1,54.06
2002,2,46.9
2002,3,40.86
2003,1,55.51
2003,2,49.27
2003,3,44.66
2004,1,60.67
2004,2,52.08
2004,3,48.11
2006,1,56
2006,2,55.39
2006,3,48.13
2008,1,58.16
2008,2,54.4
2008,3,48.5
